mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
15	15	0	0	3/4	2	1	V.I{					G	V		I		I						{	M	0	0	2, 6, 3		2	2	4	6	0.4	0.25	1.25	0.16666666666666666
16	16	1/2	1/2	3/4	2	1	#viio7/vi					G	V		#viio7/vi		#vii	o	7		vi			o7	0	0	10, 7, 4, 1		10	10	0	6	0.0	0.0	1.5	0.0
17	17	0	0	3/4	2	1	vi					G	V		vi		vi							m	0	0	5, 2, 6		5	5	3	5	0.375	0.1875	1.0625	0.15
18	18	0	0	3/4	2	1	V6					G	V		V6		V		6					M	0	0	7, 4, 3		3	7	0	2	0.0	0.0	0.5	0.0
18	18	1/4	1/4	3/4	2	1	V7					G	V		V7		V		7					Mm7	0	0	3, 7, 4, 1		3	3	0	2	0.0	0.0	0.5	0.0
18	18	1/2	1/2	3/4	2	1	I					G	V		I		I							M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.5	0.0
19	19	0	0	3/4	2	1	#viio7/ii					G	V		#viio7/ii		#vii	o	7		ii			o7	0	0	9, 6, 3, 0		9	9	0	4	0.0	0.0	1.25	0.0
19	19	1/2	1/2	3/4	2	1	ii					G	V		ii		ii							m	0	0	4, 1, 5		4	4	0	4	0.0	0.0	1.0	0.0
20	20	0	0	3/4	2	1	viio					G	V		viio		vii	o						o	0	0	7, 4, 1		7	7	0	3	0.0	0.0	1.0	0.0
20	20	1/2	1/2	3/4	2	1	I					G	V		I		I							M	0	0	2, 6, 3		2	2	0	3	0.0	0.0	0.75	0.0
21	21	0	0	3/4	2	1	IV					G	V		IV		IV							M	0	0	1, 5, 2		1	1	3	3	0.5	0.25	1.125	0.18181818181818182
22	22	0	0	3/4	2	1	V(6)}					G	V		V(6)		V			6			}	M	0	0	3, 7, 6		3	3	0	2	0.0	0.0	1.0	0.0
22	22	1/2	1/2	3/4	2	1	V|HC					G	V		V		V					HC		M	0	0	3, 7, 4		3	3	5	5	0.5	0.4166666666666667	0.4583333333333333	0.4761904761904762
24	24	0	0	3/4	2	1	V65					G	V		V65		V		65					Mm7	0	0	7, 4, 1, 3		3	7	0	6	0.0	0.0	0.5	0.0
24	24	1/2	1/2	3/4	2	1	I					G	V		I		I							M	0	0	2, 6, 3		2	2	0	3	0.0	0.0	0.25	0.0
25	25	0	0	3/4	2	1	V6					G	V		V6		V		6					M	0	0	7, 4, 3		3	7	2	10	0.16666666666666666	0.16666666666666666	0.8333333333333334	0.16666666666666666
26	26	1/4	1/4	3/4	2	1	V65					G	V		V65		V		65					Mm7	0	0	7, 4, 1, 3		3	7	1	3	0.25	0.08333333333333333	0.4166666666666667	0.16666666666666666
26	26	1/2	1/2	3/4	2	1	i					G	V		i		i							m	0	0	2, -1, 3		2	2	0	4	0.0	0.0	0.5	0.0
27	27	0	0	3/4	2	1	iv					G	V		iv		iv							m	0	0	1, -2, 2		1	1	2	7	0.2222222222222222	0.16666666666666666	0.5833333333333334	0.2222222222222222
28	28	0	0	3/4	2	1	V7/bIII					G	V		V7/bIII		V		7		bIII			Mm7	0	0	0, 4, 1, -2		0	0	1	8	0.1111111111111111	0.08333333333333333	0.6666666666666666	0.1111111111111111
29	29	0	0	3/4	2	1	bIII					G	V		bIII		bIII							M	0	0	-1, 3, 0		-1	-1	2	7	0.2222222222222222	0.16666666666666666	0.5833333333333334	0.2222222222222222
30	30	0	0	3/4	2	1	bVIM7					G	V		bVIM7		bVI	M	7					MM7	0	0	-2, 2, -1, 3		-2	-2	1	8	0.1111111111111111	0.08333333333333333	0.6666666666666666	0.1111111111111111
31	31	0	0	3/4	2	1	iio					G	V		iio		ii	o						o	0	0	4, 1, -2		4	4	2	7	0.2222222222222222	0.16666666666666666	0.5833333333333334	0.2222222222222222
32	32	0	0	3/4	2	1	V[V					G	V	V	V		V							M	0	0	3, 7, 4		3	3	1	8	0.1111111111111111	0.08333333333333333	0.6666666666666666	0.1111111111111111
33	33	0	0	3/4	2	1	i64					G	V	V	i64		i		64					m	0	0	3, 2, -1		2	3	0	6	0.0	0.0	0.5	0.0
33	33	1/2	1/2	3/4	2	1	viio6/V]					G	V	V	viio6/V		vii	o	6		V			o	0	0	5, 2, 8		8	5	0	3	0.0	0.0	0.25	0.0
34	34	0	0	3/4	2	1	V|HC}					G	V		V		V					HC	}	M	0	0	3, 7, 4		3	3	1	8	0.1111111111111111	0.125	0.96875	0.11428571428571428
35	35	0	0	3/4	2	1	I6					G	V		I6		I		6					M	0	0	6, 3, 2		2	6	1	4	0.2	0.0625	0.3125	0.16666666666666666
35	35	1/2	1/2	3/4	2	1	#vii65/ii					G	V		#vii65/ii		#vii		65		ii			mm7	0	0	6, 10, 7, 9		9	6	2	2	0.5	0.25	0.375	0.4
36	36	0	0	3/4	2	1	ii6(11#76)					G	V		ii6(11#76)		ii		6	11#76				m	0	0	1, 7, 9	3	4	1	1	3	0.25	0.25	0.875	0.2222222222222222
36	36	1/4	1/4	3/4	2	1	ii6					G	V		ii6		ii		6					m	0	0	1, 5, 4		4	1	0	3	0.0	0.0	0.375	0.0
36	36	1/2	1/2	3/4	2	1	#viio6/iii					G	V		#viio6/iii		#vii	o	6		iii			o	0	0	8, 5, 11		11	8	1	4	0.2	0.0625	0.4375	0.125
37	37	0	0	3/4	2	1	iii6(#7)					G	V		iii6(#7)		iii		6	#7				m	0	0	3, 7, 11		6	3	0	2	0.0	0.0	0.625	0.0
37	37	1/4	1/4	3/4	2	1	iii6					G	V		iii6		iii		6					m	0	0	3, 7, 6		6	3	0	1	0.0	0.0	0.125	0.0
37	37	1/2	1/2	3/4	2	1	iv6					G	V		iv6		iv		6					m	0	0	-2, 2, 1		1	-2	0	6	0.0	0.0	0.25	0.0
38	38	0	0	3/4	2	1	viio65/V					G	V		viio65/V		vii	o	65		V			o7	0	0	5, 2, -1, 8		8	5	0	7	0.0	0.0	2.0	0.0
38	38	1/2	1/2	3/4	2	1	v6					G	V		v6		v		6					m	0	0	0, 4, 3		3	0	0	6	0.0	0.0	0.25	0.0
39	39	0	0	3/4	2	1	#viio65/vi					G	V		#viio65/vi		#vii	o	65		vi			o7	0	0	7, 4, 1, 10		10	7	0	7	0.0	0.0	0.25	0.0
39	39	1/4	1/4	3/4	2	1	vi6					G	V		vi6		vi		6					m	0	0	2, 6, 5		5	2	0	6	0.0	0.0	0.25	0.0
39	39	1/2	1/2	3/4	2	1	bvii6					G	V		bvii6		bvii		6					m	0	0	-3, 1, 0		0	-3	0	6	0.0	0.0	0.25	0.0
40	40	0	0	3/4	2	1	viio65					G	V		viio65		vii	o	65					o7	0	0	4, 1, -2, 7		7	4	0	7	0.0	0.0	0.25	0.0
40	40	1/4	1/4	3/4	2	1	i6					G	V		i6		i		6					m	0	0	-1, 3, 2		2	-1	0	6	0.0	0.0	0.25	0.0
40	40	1/2	1/2	3/4	2	1	#viio65/ii					G	V		#viio65/ii		#vii	o	65		ii			o7	0	0	6, 3, 0, 9		9	6	1	6	0.14285714285714285	0.03125	0.21875	0.125
41	41	0	0	3/4	2	1	ii6					G	V		ii6		ii		6					m	0	0	1, 5, 4		4	1	0	9	0.0	0.0	0.25	0.0
41	41	1/4	1/4	3/4	2	1	ii					G	V		ii		ii							m	0	0	4, 1, 5		4	4	0	9	0.0	0.0	0.25	0.0
41	41	1/2	1/2	3/4	2	1	V65					G	V		V65		V		65					Mm7	0	0	7, 4, 1, 3		3	7	0	9	0.0	0.0	0.25	0.0
42	42	0	0	3/4	2	1	V[V7					G	V	V	V7		V		7					Mm7	0	0	3, 7, 4, 1		3	3	3	9	0.25	0.1875	1.25	0.13043478260869565
43	43	0	0	3/4	2	1	I6					G	V	V	I6		I		6					M	0	0	6, 3, 2		2	6	0	5	0.0	0.0	1.0	0.0
43	43	1/4	1/4	3/4	2	1	viio6					G	V	V	viio6		vii	o	6					o	0	0	4, 1, 7		7	4	0	4	0.0	0.0	0.25	0.0
43	43	1/2	1/2	3/4	2	1	vi6					G	V	V	vi6		vi		6					m	0	0	2, 6, 5		5	2	0	4	0.0	0.0	0.25	0.0
44	44	0	0	3/4	2	1	V6]					G	V	V	V6		V		6					M	0	0	7, 4, 3		3	7	0	5	0.0	0.0	0.5	0.0
44	44	1/4	1/4	3/4	2	1	IV6					G	V		IV6		IV		6					M	0	0	5, 2, 1		1	5	0	4	0.0	0.0	0.25	0.0
44	44	1/2	1/2	3/4	2	1	iii6					G	V		iii6		iii		6					m	0	0	3, 7, 6		6	3	0	4	0.0	0.0	0.25	0.0
45	45	0	0	3/4	2	1	ii6					G	V		ii6		ii		6					m	0	0	1, 5, 4		4	1	0	4	0.0	0.0	0.25	0.0
45	45	1/4	1/4	3/4	2	1	V(64)					G	V		V(64)		V			64				M	0	0	3, 2, 6		3	3	0	5	0.0	0.0	0.5	0.0
45	45	1/2	1/2	3/4	2	1	V7					G	V		V7		V		7					Mm7	0	0	3, 7, 4, 1		3	3	0	5	0.0	0.0	0.5	0.0
46	46	0	0	3/4	2	1	I|PAC}					G	V		I		I					PAC	}	M	0	0	2, 6, 3		2	2	8	21	0.27586206896551724	0.25	4.0625	0.057971014492753624
49	49	0	0	3/4	2	1	V6					G	V		V6		V		6					M	0	0	7, 4, 3		3	7	0	4	0.0	0.0	0.5	0.0
49	49	1/4	1/4	3/4	2	1	V7					G	V		V7		V		7					Mm7	0	0	3, 7, 4, 1		3	3	0	2	0.0	0.0	0.5	0.0
50	50	0	0	3/4	2	1	I					G	V		I		I							M	0	0	2, 6, 3		2	2	5	8	0.38461538461538464	0.21875	0.78125	0.21875
51	51	0	0	3/4	2	1	V6					G	V		V6		V		6					M	0	0	7, 4, 3		3	7	0	2	0.0	0.0	0.5	0.0
51	51	1/4	1/4	3/4	2	1	V7					G	V		V7		V		7					Mm7	0	0	3, 7, 4, 1		3	3	0	2	0.0	0.0	0.5	0.0
52	52	0	0	3/4	2	1	I}					G	V		I		I						}	M	0	0	2, 6, 3		2	2	2	3	0.4	0.125	0.375	0.25
53	53	0	0	3/4	2	1	vi.i{	-0.1	3.5	/		G	vi		i		i						{	m	0	1	4, 1, 5		4	4	8	17	0.32	0.25	2.9375	0.0784313725490196
55	55	0	0	3/4	2	1	V6					G	vi		V6		V		6					M	0	1	9, 6, 5		5	9	0	4	0.0	0.0	0.5	0.0
55	55	1/4	1/4	3/4	2	1	V7					G	vi		V7		V		7					Mm7	0	1	5, 9, 6, 3		5	5	0	2	0.0	0.0	0.5	0.0
56	56	0	0	3/4	2	1	i					G	vi		i		i							m	0	1	4, 1, 5		4	4	5	8	0.38461538461538464	0.21875	0.78125	0.21875
57	57	0	0	3/4	2	1	V6					G	vi		V6		V		6					M	0	1	9, 6, 5		5	9	0	2	0.0	0.0	0.5	0.0
57	57	1/4	1/4	3/4	2	1	V7					G	vi		V7		V		7					Mm7	0	1	5, 9, 6, 3		5	5	0	2	0.0	0.0	0.5	0.0
58	58	0	0	3/4	2	1	i					G	vi		i		i							m	0	1	4, 1, 5		4	4	5	8	0.38461538461538464	0.21875	0.78125	0.21875
59	59	0	0	3/4	2	1	iv					G	vi		iv		iv							m	0	1	3, 0, 4		3	3	0	2	0.0	0.0	0.5	0.0
59	59	1/4	1/4	3/4	2	1	V6/III					G	vi		V6/III		V		6		III			M	0	1	6, 3, 2		2	6	5	5	0.5	0.20833333333333334	0.4166666666666667	0.33333333333333337
60	60	0	0	3/4	2	1	III					G	vi		III		III							M	0	1	1, 5, 2		1	1	0	2	0.0	0.0	0.5	0.0
60	60	1/4	1/4	3/4	2	1	VI6					G	vi		VI6		VI		6					M	0	1	4, 1, 0		0	4	5	5	0.5	0.20833333333333334	0.4166666666666667	0.33333333333333337
61	61	0	0	3/4	2	1	iio					G	vi		iio		ii	o						o	0	1	6, 3, 0		6	6	0	2	0.0	0.0	0.5	0.0
61	61	1/4	1/4	3/4	2	1	V6					G	vi		V6		V		6					M	0	1	9, 6, 5		5	9	5	5	0.5	0.20833333333333334	0.4166666666666667	0.33333333333333337
62	62	0	0	3/4	2	1	i					G	vi		i		i							m	0	1	4, 1, 5		4	4	3	7	0.3	0.09375	0.90625	0.09375
63	63	0	0	3/4	2	1	V7					G	vi		V7		V		7					Mm7	0	1	5, 9, 6, 3		5	5	6	10	0.375	0.21875	0.78125	0.21875
64	64	0	0	3/4	2	1	i					G	vi		i		i							m	0	1	4, 1, 5		4	4	3	7	0.3	0.09375	0.90625	0.09375
65	65	0	0	3/4	2	1	V7					G	vi		V7		V		7					Mm7	0	1	5, 9, 6, 3		5	5	6	10	0.375	0.21875	0.78125	0.21875
66	66	0	0	3/4	2	1	i					G	vi		i		i							m	0	1	4, 1, 5		4	4	0	3	0.0	0.0	0.75	0.0
66	66	1/2	1/2	3/4	2	1	#viio7/iv					G	vi		#viio7/iv		#vii	o	7		iv			o7	0	1	8, 5, 2, -1		8	8	0	4	0.0	0.0	0.4375	0.0
67	67	0	0	3/4	2	1	iv(9)					G	vi		iv(9)		iv			9				m	0	1	3, 0, 4	5	3	3	0	4	0.0	0.0	0.4375	0.0
67	67	1/4	1/4	3/4	2	1	viio65/V					G	vi		viio65/V		vii	o	65		V			o7	0	1	7, 4, 1, 10		10	7	4	0	1.0	0.4375	0.0	1.0
67	67	1/2	1/2	3/4	2	1	V(64)					G	vi		V(64)		V			64				M	0	1	5, 4, 1		5	5	2	2	0.5	0.125	0.3125	0.2857142857142857
68	68	0	0	3/4	2	1	V65					G	vi		V65		V		65					Mm7	0	1	9, 6, 3, 5		5	9	0	4	0.0	0.0	0.4375	0.0
68	68	1/4	1/4	3/4	2	1	i					G	vi		i		i							m	0	1	4, 1, 5		4	4	0	4	0.0	0.0	0.4375	0.0
68	68	1/2	1/2	3/4	2	1	Ger6					G	vi		Ger6	Ger	vii	o	65	b3	V			Ger	0	1	0, 4, 1, 10		10	0	0	4	0.0	0.0	0.4375	0.0
69	69	0	0	3/4	2	1	viio7/V					G	vi		viio7/V		vii	o	7		V			o7	0	1	10, 7, 4, 1		10	10	0	4	0.0	0.0	0.4375	0.0
69	69	1/4	1/4	3/4	2	1	V(64)					G	vi		V(64)		V			64				M	0	1	5, 4, 1		5	5	0	4	0.0	0.0	0.4375	0.0
69	69	1/2	1/2	3/4	2	1	V7					G	vi		V7		V		7					Mm7	0	1	5, 9, 6, 3		5	5	0	4	0.0	0.0	0.4375	0.0
70	70	0	0	3/4	2	1	i|PAC}					G	vi		i		i					PAC	}	m	0	1	4, 1, 5		4	4	0	5	0.0	0.0	1.25	0.0
70	70	1/4	1/4	3/4	2	1	i.i{					G	i		i		i						{	m	0	1	1, -2, 2		1	1	0	1	0.0	0.0	0.5	0.0
71	71	0	0	3/4	2	1	iv6					G	i		iv6		iv		6					m	0	1	-3, 1, 0		0	-3	3	6	0.3333333333333333	0.16666666666666666	1.3333333333333333	0.1111111111111111
72	72	0	0	3/4	2	1	#viio6/iv				#viio65/iv	G	i		#viio6/iv		#vii	o	6		iv			o	0	1	2, -1, 5		5	2	3	4	0.42857142857142855	0.375	1.125	0.25
73	73	0	0	3/4	2	1	iv					G	i		iv		iv							m	0	1	0, -3, 1		0	0	2	5	0.2857142857142857	0.25	1.25	0.16666666666666666
74	74	0	0	3/4	2	1	vii(4)					G	i		vii(4)		vii			4				m	0	1	-1, -2, 0		-1	-1	1	2	0.3333333333333333	0.125	0.625	0.16666666666666666
74	74	1/4	1/4	3/4	2	1	vii					G	i		vii		vii							m	0	1	-1, -4, 0		-1	-1	0	2	0.0	0.0	0.25	0.0
74	74	1/2	1/2	3/4	2	1	V7/VI					G	i		V7/VI		V		7		VI			Mm7	0	1	-2, 2, -1, -4		-2	-2	0	3	0.0	0.0	0.5	0.0
75	75	0	0	3/4	2	1	VI					G	i		VI		VI							M	0	1	-3, 1, -2		-3	-3	8	13	0.38095238095238093	1.0	3.5	0.2222222222222222
78	78	0	0	3/4	2	1	It6(2)					G	i		It6(2)	It	vii	o	6	b32	V			It	0	1	-3, 1, 2		7	-3	0	2	0.0	0.0	1.25	0.0
78	78	1/2	1/2	3/4	2	1	It6					G	i		It6	It	vii	o	6	b3	V			It	0	1	-3, 1, 7		7	-3	0	1	0.0	0.0	0.25	0.0
79	79	0	0	3/4	2	1	VI					G	i		VI		VI							M	0	1	-3, 1, -2		-3	-3	0	4	0.0	0.0	1.25	0.0
80	80	0	0	3/4	2	1	Ger6					G	i		Ger6	Ger	vii	o	65	b3	V			Ger	0	1	-3, 1, -2, 7		7	-3	2	5	0.2857142857142857	0.3125	1.9375	0.1388888888888889
81	81	0	0	3/4	2	1	V(4)					G	i		V(4)		V			4				M	0	1	2, 1, 3		2	2	1	4	0.2	0.0	2.25	0.0
82	82	0	0	3/4	2	1	V|HC}					G	i		V		V					HC	}	M	0	1	2, 6, 3		2	2	0	3	0.0	0.0	0.75	0.0
83	83	0	0	3/4	2	1	I.I{					G	I		I		I						{	M	0	0	1, 5, 2		1	1	8	17	0.32	0.25	2.9375	0.0784313725490196
85	85	0	0	3/4	2	1	V6					G	I		V6		V		6					M	0	0	6, 3, 2		2	6	0	4	0.0	0.0	0.5	0.0
85	85	1/4	1/4	3/4	2	1	V7					G	I		V7		V		7					Mm7	0	0	2, 6, 3, 0		2	2	0	2	0.0	0.0	0.5	0.0
86	86	0	0	3/4	2	1	I					G	I		I		I							M	0	0	1, 5, 2		1	1	5	8	0.38461538461538464	0.21875	0.78125	0.21875
87	87	0	0	3/4	2	1	V6					G	I		V6		V		6					M	0	0	6, 3, 2		2	6	0	2	0.0	0.0	0.5	0.0
87	87	1/4	1/4	3/4	2	1	V7					G	I		V7		V		7					Mm7	0	0	2, 6, 3, 0		2	2	0	2	0.0	0.0	0.5	0.0
88	88	0	0	3/4	2	1	I					G	I		I		I							M	0	0	1, 5, 2		1	1	5	13	0.2777777777777778	0.21875	2.03125	0.09722222222222222
90	90	1/2	1/2	3/4	2	1	V64					G	I		V64		V		64					M	0	0	3, 2, 6		2	3	0	3	0.0	0.0	0.75	0.0
91	91	1/4	1/4	3/4	2	1	I6					G	I		I6		I		6					M	0	0	5, 2, 1		1	5	0	3	0.0	0.0	0.75	0.0
92	92	0	0	3/4	2	1	IV					G	I		IV		IV							M	0	0	0, 4, 1		0	0	0	1	0.0	0.0	0.5	0.0
92	92	1/4	1/4	3/4	2	1	V2					G	I		V2		V		2					Mm7	0	0	0, 2, 6, 3		2	0	0	7	0.0	0.0	1.75	0.0
92	92	1/2	1/2	3/4	2	1	I6					G	I		I6		I		6					M	0	0	5, 2, 1		1	5	0	8	0.0	0.0	2.0	0.0
93	93	0	0	3/4	2	1	ii6					G	I		ii6		ii		6					m	0	0	0, 4, 3		3	0	2	4	0.3333333333333333	0.25	1.125	0.18181818181818182
94	94	0	0	3/4	2	1	V					G	I		V		V							M	0	0	2, 6, 3		2	2	5	7	0.4166666666666667	0.75	1.75	0.3
95	95	1/2	1/2	3/4	2	1	V65					G	I		V65		V		65					Mm7	0	0	6, 3, 0, 2		2	6	0	2	0.0	0.0	0.5	0.0
96	96	0	0	3/4	2	1	I					G	I		I		I							M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	0.625	0.0
96	96	1/4	1/4	3/4	2	1	VII6					G	I		VII6		VII		6					M	0	0	10, 7, 6		6	10	2	0	1.0	0.5	0.0	1.0
96	96	1/2	1/2	3/4	2	1	VII+/IV					G	I		VII+/IV		VII	+			IV			+	0	0	5, 9, 13		5	5	0	2	0.0	0.0	0.375	0.0
97	97	0	0	3/4	2	1	IV					G	I		IV		IV							M	0	0	0, 4, 1		0	0	3	3	0.5	0.25	0.75	0.25
97	97	1/2	1/2	3/4	2	1	ii6					G	I		ii6		ii		6					m	0	0	0, 4, 3		3	0	1	2	0.3333333333333333	0.125	0.375	0.25
98	98	0	0	3/4	2	1	V(4)}					G	I		V(4)		V			4			}	M	0	0	2, 1, 3		2	2	0	2	0.0	0.0	0.625	0.0
98	98	1/4	1/4	3/4	2	1	V|HC					G	I		V		V					HC		M	0	0	2, 6, 3		2	2	4	10	0.2857142857142857	0.3333333333333333	1.2916666666666667	0.20512820512820512
100	100	0	0	3/4	2	1	V65					G	I		V65		V		65					Mm7	0	0	6, 3, 0, 2		2	6	0	6	0.0	0.0	0.5	0.0
100	100	1/2	1/2	3/4	2	1	I					G	I		I		I							M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	0.25	0.0
101	101	0	0	3/4	2	1	V6					G	I		V6		V		6					M	0	0	6, 3, 2		2	6	2	10	0.16666666666666666	0.16666666666666666	0.8333333333333334	0.16666666666666666
102	102	1/4	1/4	3/4	2	1	#viio					G	I		#viio		#vii	o						o	0	0	6, 3, 0		6	6	1	3	0.25	0.08333333333333333	0.4166666666666667	0.16666666666666666
102	102	1/2	1/2	3/4	2	1	i					G	I		i		i							m	0	0	1, -2, 2		1	1	0	4	0.0	0.0	0.5	0.0
103	103	0	0	3/4	2	1	iv					G	I		iv		iv							m	0	0	0, -3, 1		0	0	2	7	0.2222222222222222	0.16666666666666666	0.5833333333333334	0.2222222222222222
104	104	0	0	3/4	2	1	V7/bIII					G	I		V7/bIII		V		7		bIII			Mm7	0	0	-1, 3, 0, -3		-1	-1	1	8	0.1111111111111111	0.08333333333333333	0.6666666666666666	0.1111111111111111
105	105	0	0	3/4	2	1	bIII					G	I		bIII		bIII							M	0	0	-2, 2, -1		-2	-2	2	7	0.2222222222222222	0.16666666666666666	0.5833333333333334	0.2222222222222222
106	106	0	0	3/4	2	1	bVIM7					G	I		bVIM7		bVI	M	7					MM7	0	0	-3, 1, -2, 2		-3	-3	1	8	0.1111111111111111	0.08333333333333333	0.6666666666666666	0.1111111111111111
107	107	0	0	3/4	2	1	iio					G	I		iio		ii	o						o	0	0	3, 0, -3		3	3	2	7	0.2222222222222222	0.16666666666666666	0.5833333333333334	0.2222222222222222
108	108	0	0	3/4	2	1	V[V					G	I	V	V		V							M	0	0	2, 6, 3		2	2	1	8	0.1111111111111111	0.08333333333333333	0.6666666666666666	0.1111111111111111
109	109	0	0	3/4	2	1	i64					G	I	V	i64		i		64					m	0	0	2, 1, -2		1	2	0	6	0.0	0.0	0.5	0.0
109	109	1/2	1/2	3/4	2	1	viio6/V]					G	I	V	viio6/V		vii	o	6		V			o	0	0	4, 1, 7		7	4	0	3	0.0	0.0	0.25	0.0
110	110	0	0	3/4	2	1	V|HC}					G	I		V		V					HC	}	M	0	0	2, 6, 3		2	2	1	8	0.1111111111111111	0.125	0.96875	0.11428571428571428
111	111	0	0	3/4	2	1	I6					G	I		I6		I		6					M	0	0	5, 2, 1		1	5	1	4	0.2	0.0625	0.3125	0.16666666666666666
111	111	1/2	1/2	3/4	2	1	#vii65/ii					G	I		#vii65/ii		#vii		65		ii			mm7	0	0	5, 9, 6, 8		8	5	2	2	0.5	0.25	0.375	0.4
112	112	0	0	3/4	2	1	ii6(11#76)					G	I		ii6(11#76)		ii		6	11#76				m	0	0	0, 6, 8	2	3	0	1	3	0.25	0.25	0.875	0.2222222222222222
112	112	1/4	1/4	3/4	2	1	ii6					G	I		ii6		ii		6					m	0	0	0, 4, 3		3	0	0	3	0.0	0.0	0.375	0.0
112	112	1/2	1/2	3/4	2	1	#viio6/iii					G	I		#viio6/iii		#vii	o	6		iii			o	0	0	7, 4, 10		10	7	1	4	0.2	0.0625	0.4375	0.125
113	113	0	0	3/4	2	1	iii6(#7)					G	I		iii6(#7)		iii		6	#7				m	0	0	2, 6, 10		5	2	0	2	0.0	0.0	0.5	0.0
